"X1"	"X2"	"X3"	"X4"	"X5"	"X6"	"X7"	"X8"	"X9"	"X10"
"1"	3.30544278042547e-08	4.63951304651993e-09	1.29547569227159e-08	2.09305511846531e-08	1.83352290242046e-08	1.376641046204e-08	3.42195505038636e-08	1.16664096427184e-09	-1.87589106175309e-08	1.80225991473069e-09
"2"	4.63951304651993e-09	6.37499431135105e-08	1.75437139122642e-08	2.94117413153633e-08	-2.92852307308384e-08	-3.56326122988428e-08	-8.06086330420542e-09	-5.95203316775258e-08	-4.07169676267002e-08	-1.06936037430469e-08
"3"	1.29547569227159e-08	1.75437139122642e-08	1.10893612229833e-08	7.13422142599999e-09	-9.40422091183593e-10	4.39888624356449e-09	1.97391106649636e-08	-7.50832388930163e-09	-1.91441319452252e-08	1.80079052615988e-09
"4"	2.09305511846531e-08	2.94117413153633e-08	7.13422142599999e-09	7.54251126899592e-08	1.8571077095649e-08	-7.10948929946939e-08	1.32107491767346e-09	-9.28002836046531e-08	-2.1471114965698e-08	-1.8858249115951e-08
"5"	1.83352290242046e-08	-2.92852307308384e-08	-9.40422091183593e-10	1.8571077095649e-08	4.30644357455721e-08	-2.70082114520514e-09	4.16978214367534e-08	-6.7534657226956e-09	7.28283689412571e-09	4.98494617777968e-09
"6"	1.376641046204e-08	-3.56326122988428e-08	4.39888624356449e-09	-7.10948929946939e-08	-2.70082114520514e-09	1.10100159823968e-07	3.09803734814723e-08	1.26419971590289e-07	8.6326197622218e-09	2.45876404573359e-08
"7"	3.42195505038636e-08	-8.06086330420542e-09	1.97391106649636e-08	1.32107491767346e-09	4.16978214367534e-08	3.09803734814723e-08	9.88286350902728e-08	7.31071358668123e-09	-2.39107498171764e-08	2.02878489798711e-08
"8"	1.16664096427184e-09	-5.95203316775258e-08	-7.50832388930163e-09	-9.28002836046531e-08	-6.7534657226956e-09	1.26419971590289e-07	7.31071358668123e-09	1.60473744249293e-07	3.16038489168359e-08	2.56758513177609e-08
"9"	-1.87589106175309e-08	-4.07169676267002e-08	-1.91441319452252e-08	-2.1471114965698e-08	7.28283689412571e-09	8.6326197622218e-09	-2.39107498171764e-08	3.16038489168359e-08	3.63427545170026e-08	1.50687852656108e-09
"10"	1.80225991473069e-09	-1.06936037430469e-08	1.80079052615988e-09	-1.8858249115951e-08	4.98494617777968e-09	2.45876404573359e-08	2.02878489798711e-08	2.56758513177609e-08	1.50687852656108e-09	9.06430360528458e-09
