"V1"	"V2"	"V3"	"V4"
"1"	0	100	0.0359221077380624	0.012112980838326
"2"	0	200	0.0825989868694632	0.03156114077222
"3"	0	300	0.0862311369099883	0.0587504212584575
"4"	0	400	0.100064692398573	0.06357646038408
"5"	0	500	0.0973245473947933	0.082431873484236
"6"	0	600	0.105916203703996	0.093689194948638
"7"	0	700	0.100840028565967	0.107042611937458
"8"	0	800	0.104970298749969	0.107411236913371
"9"	0	900	0.105408211695168	0.105861950767206
"10"	0	1000	0.106749630272888	0.105966277198004
"11"	0	1100	0.105713074776044	0.104587535111912
"12"	0	1200	0.107148541698068	0.114161465033979
"13"	0	1300	0.100390000068648	0.100321649064532
"14"	0	1400	0.0993915413134539	0.096627632426658
"15"	0	1500	0.102647712659841	0.102451911895639
"16"	0	1600	0.0994368521452695	0.097941128824584
"17"	0	1700	0.0925706030998135	0.0991238812840352
"18"	0	1800	0.083843649179179	0.0946674903417659
"19"	0	1900	0.0916150684583195	0.08831701554397
"20"	0	2000	0.102530594925788	0.082129295888106
"21"	0	2100	0.110683301675508	0.090146134310744
"22"	0	2200	0.111280924607909	0.09422864958092
"23"	0	2300	0.112358201318618	0.096681551929618
"24"	0	2400	0.104390573544733	0.111853460837978
"25"	0	2500	0.106431672821674	0.097744142040464
"26"	0	2600	0.0945764404254257	0.113734608242444
"27"	0	2700	0.101486160030821	0.106642460906142
"28"	0	2800	0.0964061118363427	0.0982074523692688
"29"	0	2900	0.107808847917459	0.098046735160082
"30"	0	3000	0.106382265233651	0.09663495470142
"31"	0	3100	0.0944195499124796	0.093087248929398
"32"	0	3200	0.104405889895508	0.0955184057788802
"33"	0	3300	0.101574720063974	0.09942233765438
"34"	0	3400	0.103986876423096	0.108017098683392
"35"	0	3500	0.103393366312371	0.111897230596309
"36"	0	3600	0.0983492133572634	0.113403511572016
"37"	0	3700	0.0985130302530794	0.103713495344936
"38"	0	3800	0.0909574707260268	0.101200357131835
"39"	0	3900	0.100329156516267	0.0924096806648443
