"ntrait"	"npl"	"vr"	"vg"	"sd_vr"	"se_vg"
"1"	2	0	476.75811630945	0.283220186817018	96.3196848651819	0.111341278048836
"2"	2	10	634.810770651635	0.38879024006	128.25114305658	0.0787891367296697
"3"	2	20	497.896949160649	0.23445623338	100.590374023882	0.0658049387664785
"4"	2	30	384.870151904117	0.2103011086062	77.755512653628	0.0720657669759252
"5"	2	40	343.596042721846	0.2454393209474	69.4168833707085	0.0616137311621319
"6"	2	50	228.335465875975	0.10207189723746	46.1307303732262	0.0414710962970931
"11"	5	0	880.936497269385	0.25792097406	177.976048861116	0.0963813738919549
"21"	5	10	641.05085878311	0.1847102566186	129.511831237428	0.0527174861323396
"31"	5	20	359.694226639866	0.173443073642	72.6692076602001	0.0646339464922265
"41"	5	30	307.979724445877	0.09433666700708	62.2213004638983	0.029101857300008
"51"	5	40	163.489802223967	0.3049054480852	33.0299279449756	0.0900200483584989
"61"	5	50	12.7553308538493	0.36054770182	2.57696598372424	0.103594666197101
"12"	10	0	510.877524714683	0.27041181124	103.212846309014	0.0925693431079848
"22"	10	10	324.884739735727	0.2501054608564	65.6366293060456	0.0938867732286684
"32"	10	20	278.187635367444	0.17258686934	56.2023895458772	0.0678428543419385
"42"	10	30	224.976729476261	0.0830854731216	45.4521631490959	0.0354990966509379
"52"	10	40	110.395075788193	0.05921236196	22.3031733426954	0.030625498607477
"62"	10	50	1.20165449415218e-07	0.000121168728	2.42770868988084e-08	6.47774686760484e-05
